epoch,train_loss,train_l1,train_nmse,val_loss,val_l1,val_nmse,epoch_time_sec
1,0.14407184413858992,0.09553060967276991,0.48541233320372235,0.140489065925852,0.09474028310932808,0.4574878160044444,19.94009280204773
2,0.13934965991776266,0.09392669422978517,0.45422964536785254,0.13984098958132937,0.09439637207446232,0.45444616289447537,16.68592667579651
3,0.13883659954749353,0.09379963019005408,0.4503696829011648,0.1393856736663863,0.094533837944765,0.44851834503866783,16.413105487823486
4,0.138482727087408,0.09368516827029454,0.4479755790948684,0.13911164551973343,0.09428556415540494,0.4482608003367623,16.508174180984497
5,0.13823607028587653,0.09360960978977297,0.4462645923346856,0.1388908923878301,0.0943000659701689,0.4459082587159795,16.771904230117798
6,0.13804220898779154,0.09355357322344986,0.44488634825120454,0.13884393001149456,0.09449313280822562,0.4435079657345367,17.016664266586304
7,0.13788190457047916,0.09348025529967792,0.4440164808456771,0.13867851380232,0.09411908091856636,0.4455943227671891,16.788493871688843
8,0.1377610802799808,0.09343375241471513,0.4432732676347587,0.13851066776584808,0.09408877058651485,0.44421896702951663,16.21137809753418
9,0.13767335021045451,0.09342314906665336,0.44250200241919013,0.13845198265136147,0.09393950924947322,0.4451247261796924,16.391608953475952
10,0.13756359372009383,0.0933570800637776,0.44206512500528383,0.13836095474070784,0.09411985844561307,0.4424109542541367,16.388532161712646
11,0.13748130484346988,0.09334817055954599,0.4413313327059897,0.13828561532733252,0.09397234388111199,0.44313270057276855,16.439615726470947
12,0.13739218630626188,0.09328985618931473,0.4410232913291905,0.13828774281650139,0.09429819532167569,0.439895463397177,16.268068313598633
13,0.13732082246814956,0.09328266312192289,0.44038158269138084,0.13809303258605998,0.09371967120062587,0.4437336049062743,16.399608850479126
14,0.13725467717293693,0.0932579667593942,0.43996709316348515,0.13807764262121788,0.09389669108774057,0.4418095045810123,16.281988620758057
15,0.13719886481049617,0.09325415473043597,0.4394470906845863,0.1379275224674091,0.09376010183988662,0.44167419807087605,16.463274002075195
16,0.13713173969212916,0.09320336424314066,0.43928374362708794,0.13789039093116634,0.09397271689255353,0.43917673515330113,17.012726545333862
17,0.13706460224612455,0.09317949586874628,0.438851051796558,0.13799971772237218,0.09422774483255453,0.4377197188010319,16.21586585044861
18,0.13701288976527767,0.09314941597920064,0.4386347276987989,0.13779127739852282,0.09379599575563033,0.43995280885439125,16.580157041549683
19,0.13699753548010735,0.09315276299025246,0.4384477138059729,0.13778706798128945,0.09379333092013656,0.4399373623535787,16.403414726257324
20,0.13692824558606953,0.09313666043299018,0.43791583961675784,0.1376568915979039,0.09362200556135328,0.44034885223820913,16.53672432899475
21,0.13687160203295115,0.09311731009469092,0.4375429076236675,0.1377341088791974,0.09384271865978623,0.4389138930349899,16.825968027114868
22,0.13685471506512156,0.09307054133257134,0.43784172657185,0.13762396620921521,0.09373853736550367,0.4388542763835235,16.24731993675232
23,0.13685295329865071,0.09307459971322495,0.437783524681259,0.13769928494588934,0.09373209093824672,0.4396719323645393,16.399651050567627
24,0.13672801037085636,0.09303796079093066,0.43690048522368335,0.1375621730099908,0.09363718576086082,0.4392498621194483,16.348977088928223
25,0.13672823472122275,0.093051916340175,0.43676317409083026,0.1376637850867973,0.09381980514120337,0.4384397930807347,16.341145753860474
26,0.13668389315663068,0.09300780846646131,0.4367608368258892,0.1374847269449517,0.09366043303630871,0.43824293062412484,16.709022521972656
27,0.1366171484142427,0.09299496842480753,0.43622179043320575,0.1375629171568284,0.09393035361824704,0.43632562533556984,16.7471182346344
28,0.13661976671025858,0.09297854241354243,0.43641223329347006,0.13744676752324156,0.09339795876528881,0.4404880798977914,16.74251914024353
29,0.13658045186340212,0.09296786775647353,0.43612583081540274,0.137774648426248,0.09383355546072661,0.43941092362506784,16.8148512840271
30,0.13652352000096254,0.09296118532097054,0.435623336936661,0.13732440326121642,0.09348502089168957,0.43839381667349836,17.190982341766357
31,0.1365056797436962,0.0929314193668371,0.4357425954448506,0.13725870861102352,0.09351725739983024,0.4374145043196438,16.323305130004883
32,0.13651156898820593,0.09295920110268141,0.4355236687564629,0.13722506996324593,0.09356945894135953,0.4365561026677811,16.429686307907104
33,0.13648128846147561,0.09295712600396795,0.4352416132125104,0.13727211429596806,0.09387399172812379,0.43398121428146635,16.31929302215576
34,0.13640653251820375,0.0929235927042542,0.43482938787986797,0.13721648487094923,0.09357164273869327,0.43644841058219935,16.242030382156372
35,0.13635934818085102,0.09288969797095889,0.4346964907995443,0.13722963135341087,0.09347644272736079,0.4375318759422508,16.806375741958618
36,0.13641557074457109,0.09290078915397111,0.43514780669186603,0.13716348075716617,0.09352642506789818,0.43637054783406015,16.389639854431152
37,0.13633990168295737,0.09289053599468634,0.43449364592225714,0.1372004133789874,0.09367117078693436,0.4352924164465005,16.463595867156982
38,0.13628197517662483,0.09286837060357758,0.43413603462066297,0.13725947792367113,0.093343501568859,0.4391597587642052,16.69369149208069
39,0.13625249170691764,0.09284484036892951,0.4340765034591775,0.1372933260989275,0.09360701090609319,0.43686314506067647,16.27941393852234
40,0.1362472599057758,0.09285267970956282,0.43394579113954385,0.13723844199997487,0.09424514540893247,0.4299329569657072,16.19006061553955
41,0.13621143405034897,0.0928327065010023,0.43378726493512654,0.13714496169587692,0.09376377925082452,0.4338118125208848,16.229370594024658
42,0.13621546411362628,0.09283986574494113,0.4337559715775039,0.13712169531491591,0.09388673562462703,0.43234958601512496,16.393983364105225
43,0.13615986918520726,0.09281078886898463,0.43349079108734545,0.1372869907201623,0.09353751870267522,0.43749471201742296,16.447633028030396
44,0.13612566055383882,0.0928042243962207,0.43321435467132535,0.13701498679977528,0.09367738827299192,0.4333759721020143,16.386926412582397
45,0.13618108480249633,0.09279513947878237,0.4338594428970893,0.13697014375181077,0.09314420842063084,0.43825934130510835,16.524431705474854
46,0.13608863011703365,0.09279841590175834,0.4329021321458824,0.13710562430536574,0.09372351184929553,0.4338211157767893,16.37141442298889
47,0.1360747376047563,0.09280279064199147,0.43271945882229595,0.13686640588767665,0.0936611365131605,0.4320526864888857,16.221124410629272
48,0.13604647682874865,0.09278895474723328,0.43257521032000285,0.13691168901570838,0.09339220939780311,0.43519479293617414,16.332000494003296
49,0.13601516964418114,0.09274863709358867,0.4326653176302531,0.1368142866509424,0.0932289527414246,0.4358533291722373,16.3400239944458
50,0.13598906359676222,0.09277507879914186,0.4321398377280651,0.13695320235096292,0.09365203007117665,0.43301171611110084,16.30951452255249
51,0.13597495626994252,0.09277742561139597,0.4319752960730812,0.13691400886653995,0.09376211041624812,0.43151897631532,16.181175708770752
52,0.1359581833183995,0.09274828294974248,0.43209899246187145,0.1368824657079556,0.09302895103092138,0.43853513446214387,16.203280925750732
53,0.13592096159641065,0.0927535367349799,0.4316742384351026,0.1366927762308138,0.0935276883265687,0.43165087056674545,16.202231407165527
54,0.13587508704470228,0.09273256938516772,0.43142516544532483,0.13674403121359915,0.0933640459619409,0.4337998495685111,16.145369291305542
55,0.1358902698746073,0.09271838230496658,0.43171886455213093,0.13685262871892762,0.09354530035002197,0.43307327656008354,16.45280694961548
56,0.13588284971099132,0.09274282399493175,0.4314002457635625,0.1367807942275092,0.09349301526081755,0.4328777787925528,16.261390209197998
57,0.13582099081464427,0.09272370011809246,0.4309728964071781,0.1366846683642847,0.09345232223147165,0.4323234532376845,16.316649436950684
58,0.13579082869872186,0.09270425097199707,0.4308657686620284,0.13665889425993824,0.09320413328961824,0.4345476033447458,16.27180790901184
59,0.13582363048009718,0.09271930971555556,0.4310431977879018,0.1366516582855432,0.09329997073095157,0.4335168638675333,16.25304079055786
60,0.13575768162285998,0.09269562690772272,0.43062053594390703,0.136562676738492,0.09366107115977639,0.42901605163975587,16.59506368637085
61,0.13578680770596635,0.09269691051580672,0.4308989625898066,0.1365679896858742,0.09363411124058657,0.4293387792736506,16.540464162826538
62,0.13574147501884282,0.09270404985227673,0.43037424026862786,0.1365596090423332,0.09319005047788562,0.43369557831784805,16.33758783340454
63,0.1357178446379366,0.09269491948744565,0.43022924121655953,0.1371721355847532,0.09393787291235954,0.43234262277754093,16.32587432861328
64,0.13570564283875197,0.09265913501806965,0.43046506770592796,0.13652266556624887,0.09332903243246214,0.4319363233211229,16.25831413269043
65,0.13566638409815665,0.09266745783647116,0.4299892530408196,0.13648047811425418,0.09357426142346838,0.429062155725287,16.49759554862976
66,0.13569007454900991,0.09265328569764253,0.430367879368474,0.13653728686165895,0.09340180742400263,0.4313547856730523,16.39958095550537
67,0.1356290626004281,0.09265732872044939,0.4297173274601986,0.13676636072425105,0.09351667063310742,0.4324968893536561,16.43435025215149
68,0.13562351373313664,0.09266170946652832,0.42961803060269116,0.13654736395952083,0.09332297255599992,0.432243907301546,16.283438682556152
69,0.13558406470689574,0.09263533858744659,0.4294872518310017,0.13691686497156996,0.0933303091015077,0.4358655528413306,16.27914571762085
70,0.13556781455977843,0.09262819990871866,0.4293961365496827,0.1371964623468171,0.09348561641384961,0.4371084510851249,16.288673639297485
71,0.13560019790230113,0.09263592808806813,0.42964268725655497,0.13646881551676088,0.09306098195127875,0.43407832482735886,16.26318097114563
72,0.13549527324270816,0.0926245669751739,0.4287070548341379,0.1363140546562646,0.09320397100833466,0.4311008257188385,16.75408697128296
73,0.13552583249697983,0.09264994550240711,0.4287588596343994,0.13638518410299322,0.09318484009491454,0.4320034325766049,16.523587465286255
74,0.135471007735709,0.09261649821180515,0.42854508573768135,0.13634982609973967,0.09318235121908591,0.4316747363308351,16.256459712982178
75,0.13547815897185342,0.09262853217474203,0.4284962579067983,0.13646953453798946,0.09361890474461662,0.42850628999068585,16.349750995635986
76,0.1354359322692122,0.09259176129330188,0.4284416975061436,0.1363086710087687,0.09311910461058183,0.43189565698019894,16.287326335906982
77,0.13544993371966257,0.09261118186639196,0.42838750663590414,0.13631655825235003,0.09336866469879587,0.4294789289827827,16.279096841812134
78,0.13543165483172342,0.09260936948824774,0.42822284485251516,0.1362603313872497,0.09337010574627587,0.4289022488988561,16.439440727233887
79,0.13543818961130993,0.09261013364667789,0.42828055003007376,0.1362489853054285,0.09306272945581205,0.43186254906568594,16.59489893913269
80,0.13540666746858826,0.09258960254645476,0.42817063853661647,0.13623583817975127,0.09323401374092473,0.4300182360968144,16.513078212738037
81,0.13543471762351836,0.09260803962567263,0.42826677175237293,0.13628227447273492,0.09303110521353727,0.4325116827762384,16.109882831573486
82,0.13538585012705398,0.09257826429943258,0.42807584961929407,0.136271462286655,0.09326936132040062,0.4300210029958821,16.12751579284668
83,0.1353823848430616,0.09258542914423193,0.42796954613698845,0.13620494072921843,0.09309753562866462,0.43107404243603026,16.205713748931885
84,0.1354011511264991,0.09260169728303654,0.4279945267101573,0.1362196674717845,0.09332613805610446,0.42893529131258135,16.5745050907135
85,0.13536516700511542,0.09257163879739476,0.42793527201863557,0.13622297850444162,0.0930102510635721,0.43212726873030766,16.249995946884155
86,0.1353721304199929,0.09258312794308803,0.42789001366498386,0.13622768881241623,0.09309527006589895,0.43132417557908476,16.02186107635498
87,0.13537801397173058,0.0925934946993129,0.4278451835502545,0.13620511418302284,0.09313840407663755,0.4306670918310289,16.145333766937256
88,0.13534449266647502,0.09256575598382177,0.42778735532609885,0.1361929523966295,0.09338450686094894,0.42808445076719465,16.41288423538208
89,0.13535183624478608,0.09257830901153288,0.42773526364688974,0.13621096953535253,0.09341714315438013,0.42793825022179444,16.352012872695923
90,0.1352959225555981,0.09254925205453414,0.4274666959401177,0.13614248208326402,0.09324691000582128,0.42895571297878843,17.00690269470215
91,0.1352991872713395,0.09256708592969175,0.42732099994568984,0.13615561001967613,0.09309245133772492,0.4306315767893688,16.577274084091187
92,0.13528383532991387,0.09255646694517632,0.42727367326031307,0.1361542876622231,0.0931779583296303,0.4297632860194007,16.414097547531128
93,0.13528837963260865,0.09256063103560953,0.42727747621587725,0.1361278737995693,0.09310521769987272,0.430226551757442,16.348724126815796
94,0.13528424437655426,0.0925457460479775,0.4273849723195699,0.136167200938832,0.09320183280225602,0.4296536730776588,16.27563214302063
95,0.13528145398189217,0.09255211709574175,0.42729335834911997,0.13611106336009587,0.09320782575414603,0.42903236712483195,16.217248678207397
96,0.13529487043825958,0.09257068545625774,0.42724183865850857,0.13612832620793539,0.09318160814762437,0.4294671781843515,16.57285785675049
97,0.13526898207761917,0.09255056653915687,0.4271841460728333,0.1361550063350432,0.09317634977474004,0.42978655820270234,16.3483989238739
98,0.13530176971610364,0.09258125540021299,0.4272051315952836,0.1361710904769117,0.09319488345075855,0.42976206005048406,16.413853645324707
99,0.13525266909171915,0.09253672765727308,0.4271594035965531,0.13611167755058343,0.09322217464942834,0.4288950182979913,16.441181182861328
100,0.1352645838683444,0.0925551553126841,0.4270942754118647,0.13612245851390653,0.09315513472052679,0.4296732299405036,16.281069040298462
